contract_version,dataset,target,model,model_label,contrast,candidate_condition,reference_condition,demographic_fields,delta_definition,training_seed_treatment,n_subjects,n_measurements_per_seed,n_training_seeds,training_seeds,reference_seed_mode,seed_17_delta_mae,seed_23_delta_mae,seed_42_delta_mae,seed_delta_mae_sample_sd,delta_mae_candidate_minus_reference,ci_low,ci_high,bootstrap_probability_candidate_better,bootstrap_method,bootstrap_replicates,bootstrap_confidence,bootstrap_seed
source-faithful-v3,PulseDB-MIMIC,sbp,anyppg,AnyPPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,0.39215326116171784,-0.3449890918957915,-0.1264589005418271,0.3786143304805005,-0.02643157709196692,-0.17613889968214605,0.11767876861670507,0.6379,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,3469276960
source-faithful-v3,PulseDB-MIMIC,sbp,papagei_p,PaPaGei-P,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,-0.04428534374675744,-0.022908230469183284,0.0405260279320923,0.04410943753334811,-0.008889182094616142,-0.04913328536658712,0.031284662682099,0.6687,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,666170529
source-faithful-v3,PulseDB-MIMIC,sbp,papagei_s,PaPaGei-S,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,0.09472006785145931,0.18692235379829775,0.0838057468615438,0.05664718081046706,0.12181605617043362,0.010592708696023736,0.2356470479100487,0.0158,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,3453284412
source-faithful-v3,PulseDB-MIMIC,sbp,pulseppg,Pulse-PPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,-0.10010146840240233,-0.20622124555482377,0.15457193464402794,0.18542368969476822,-0.050583593104399416,-0.17468228934156893,0.07075112720619198,0.7956,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1908952507
source-faithful-v3,PulseDB-Vital,dbp,anyppg,AnyPPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,-0.32495158895970533,-0.26085512927253895,-0.4126424939032675,0.07619870407449104,-0.33281640404517066,-0.5281869917176187,-0.14727255596148348,1.0,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,3775302433
source-faithful-v3,PulseDB-Vital,dbp,papagei_p,PaPaGei-P,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,-0.10389223516781086,-0.11549969035887216,-0.09216928499080362,0.011665250329529229,-0.10385373683916223,-0.2773041695728287,0.06317504634715974,0.8857,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,2112031864
source-faithful-v3,PulseDB-Vital,dbp,papagei_s,PaPaGei-S,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,-0.0639985024205569,-0.13448441798252014,-0.11003691021844016,0.0357898494013949,-0.10283994354050574,-0.2719808767243818,0.06438554340780779,0.8832,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1958816471
source-faithful-v3,PulseDB-Vital,dbp,pulseppg,Pulse-PPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,0.020706617253705158,-0.005125198418635033,0.012718632324233717,0.01322556173818571,0.009433350386434615,-0.016064234193380964,0.034385360178358464,0.2273,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,944824003
source-faithful-v3,PulseDB-Vital,sbp,anyppg,AnyPPG,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,-0.22814863568733434,0.00437948650643874,-0.6591757208022281,0.3366895674208048,-0.2943149566610412,-0.4941473350736575,-0.09980605365903705,0.9983,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,1813919788
source-faithful-v3,PulseDB-Vital,sbp,papagei_p,PaPaGei-P,add_demographics_to_finetuned,finetuned_demographics,finetuned,age/sex/BMI,candidate_minus_reference_participant_macro_mae,fixed_mean_of_seed_17_23_42_deltas_within_draw,300,3000,3,17/23/42,matched_training_seed,-0.055514779969465355,-0.1413445300364701,-0.13187719269724885,0.047059527109232384,-0.10957883423439475,-0.31819401438899364,0.10201553902420314,0.8417,participant_paired_percentile_fixed_oof_mean_of_3_seed_deltas,10000,0.95,2500491026
