dataset,model,target,preprocessing_policy,padding_policy,demographic_fields,effect,candidate_condition,reference_condition,delta_mae,delta_rmse
PulseDB-MIMIC,papagei_p,dbp,official_ppgbp_notebook_equivalent,none,age/sex,demographics_added_to_frozen,frozen_demographics,frozen,-0.33239238311441,-0.3704449479628096
PulseDB-MIMIC,papagei_p,sbp,official_ppgbp_notebook_equivalent,none,age/sex,demographics_added_to_frozen,frozen_demographics,frozen,0.015092001934689847,0.019475753318392464
PulseDB-MIMIC,papagei_s,dbp,official_ppgbp_notebook_equivalent,none,age/sex,demographics_added_to_finetuned,finetuned_demographics,finetuned,-0.4128515529023229,-0.35799568574938867
PulseDB-MIMIC,papagei_s,sbp,official_ppgbp_notebook_equivalent,none,age/sex,demographics_added_to_finetuned,finetuned_demographics,finetuned,0.1218160561704309,0.16513079516910878
PulseDB-MIMIC,papagei_s,dbp,official_ppgbp_notebook_equivalent,none,age/sex,demographics_added_to_frozen,frozen_demographics,frozen,-0.30388201097354894,-0.3187977403683835
PulseDB-MIMIC,papagei_s,sbp,official_ppgbp_notebook_equivalent,none,age/sex,demographics_added_to_frozen,frozen_demographics,frozen,0.017158637085838535,0.034607418850988836
PulseDB-MIMIC,pulseppg,dbp,official_ppgbp_script_equivalent,none,age/sex,demographics_added_to_finetuned,finetuned_demographics,finetuned,-0.009619405895305633,0.054340490274590536
PulseDB-MIMIC,pulseppg,sbp,official_ppgbp_script_equivalent,none,age/sex,demographics_added_to_finetuned,finetuned_demographics,finetuned,-0.05058359310439897,-0.011050142406109131
PulseDB-MIMIC,pulseppg,dbp,official_ppgbp_script_equivalent,none,age/sex,demographics_added_to_frozen,frozen_demographics,frozen,-0.3183600158044051,-0.3005198223933885
PulseDB-MIMIC,pulseppg,sbp,official_ppgbp_script_equivalent,none,age/sex,demographics_added_to_frozen,frozen_demographics,frozen,0.008346195258095435,0.026024532758803787
PulseDB-Vital,anyppg,dbp,source_consistent_filter_resample_zscore_adaptation,none,age/sex/BMI,demographics_added_to_finetuned,finetuned_demographics,finetuned,-0.33281640404517177,-0.37370000831302264
PulseDB-Vital,anyppg,sbp,source_consistent_filter_resample_zscore_adaptation,none,age/sex/BMI,demographics_added_to_finetuned,finetuned_demographics,finetuned,-0.29431495666104013,-0.360321212721761
PulseDB-Vital,anyppg,dbp,source_consistent_filter_resample_zscore_adaptation,none,age/sex/BMI,demographics_added_to_frozen,frozen_demographics,frozen,-0.17992728178039208,-0.17186875897222187
PulseDB-Vital,anyppg,sbp,source_consistent_filter_resample_zscore_adaptation,none,age/sex/BMI,demographics_added_to_frozen,frozen_demographics,frozen,-0.12102756796189595,-0.12646879732203686
PulseDB-Vital,handcrafted_ppg,dbp,handcrafted_morphology_and_statistics_v1,none,age/sex/BMI,demographics_added_to_ppg_features,ppg_features_demographics,ppg_features,-0.22630161366877743,-0.21318737666417675
PulseDB-Vital,handcrafted_ppg,sbp,handcrafted_morphology_and_statistics_v1,none,age/sex/BMI,demographics_added_to_ppg_features,ppg_features_demographics,ppg_features,-0.06070856161491811,-0.027295653729517255
PulseDB-Vital,papagei_p,dbp,official_ppgbp_notebook_equivalent,none,age/sex/BMI,demographics_added_to_finetuned,finetuned_demographics,finetuned,-0.10385373683916121,-0.06774402750412456
PulseDB-Vital,papagei_p,sbp,official_ppgbp_notebook_equivalent,none,age/sex/BMI,demographics_added_to_finetuned,finetuned_demographics,finetuned,-0.10957883423439263,-0.10139673400624005
PulseDB-Vital,papagei_p,dbp,official_ppgbp_notebook_equivalent,none,age/sex/BMI,demographics_added_to_frozen,frozen_demographics,frozen,-0.19736488434440602,-0.1719267179068833
PulseDB-Vital,papagei_p,sbp,official_ppgbp_notebook_equivalent,none,age/sex/BMI,demographics_added_to_frozen,frozen_demographics,frozen,-0.08144656145166707,-0.09827858686642443
PulseDB-Vital,papagei_s,dbp,official_ppgbp_notebook_equivalent,none,age/sex/BMI,demographics_added_to_finetuned,finetuned_demographics,finetuned,-0.10283994354050563,-0.020048244363875867
PulseDB-Vital,papagei_s,sbp,official_ppgbp_notebook_equivalent,none,age/sex/BMI,demographics_added_to_finetuned,finetuned_demographics,finetuned,-0.3318929589683943,-0.428122946292504
PulseDB-Vital,papagei_s,dbp,official_ppgbp_notebook_equivalent,none,age/sex/BMI,demographics_added_to_frozen,frozen_demographics,frozen,-0.18100798122721784,-0.17047596512944097
PulseDB-Vital,papagei_s,sbp,official_ppgbp_notebook_equivalent,none,age/sex/BMI,demographics_added_to_frozen,frozen_demographics,frozen,-0.13685477532805912,-0.173210706661294
PulseDB-Vital,pulseppg,dbp,official_ppgbp_script_equivalent,none,age/sex/BMI,demographics_added_to_finetuned,finetuned_demographics,finetuned,0.009433350386434114,0.009741748660900384
PulseDB-Vital,pulseppg,sbp,official_ppgbp_script_equivalent,none,age/sex/BMI,demographics_added_to_finetuned,finetuned_demographics,finetuned,-0.05533521028435473,-0.09118304606067795
PulseDB-Vital,pulseppg,dbp,official_ppgbp_script_equivalent,none,age/sex/BMI,demographics_added_to_frozen,frozen_demographics,frozen,-0.19678088340080535,-0.18242998435843383
PulseDB-Vital,pulseppg,sbp,official_ppgbp_script_equivalent,none,age/sex/BMI,demographics_added_to_frozen,frozen_demographics,frozen,-0.10063006909388506,-0.10924597612637399
