dataset,target,model,model_label,contrast,candidate_condition,reference_condition,demographic_fields,n_subjects,n_measurements,delta_mae_candidate_minus_reference,ci_low,ci_high,bootstrap_probability_candidate_better,bootstrap_method,bootstrap_replicates,bootstrap_confidence,bootstrap_seed
BUT PPG,sbp,handcrafted_ppg,PPG features,waveform_only_vs_demographics_only,ppg_features,demographics,age/sex/BMI,38,66,3.8199491638485235,1.7802283663933367,5.859805498079717,0.0001,participant_paired_percentile_fixed_oof,10000,0.95,2419536291
BUT PPG,sbp,papagei_p,PaPaGei-P,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,38,66,4.536220915795663,2.2644285643276083,6.750570829781966,0.0,participant_paired_percentile_fixed_oof,10000,0.95,2240135796
BUT PPG,sbp,papagei_s,PaPaGei-S,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,38,66,4.507565137444675,2.0357785344622488,7.121185257348187,0.0002,participant_paired_percentile_fixed_oof,10000,0.95,2294515692
BUT PPG,sbp,pulseppg,Pulse-PPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,38,66,4.179507751346246,1.930181079434752,6.440538967621263,0.0001,participant_paired_percentile_fixed_oof,10000,0.95,1102087261
PPG-BP,dbp,anyppg,AnyPPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,219,219,-0.11313396169342552,-0.6681370337203274,0.42282398588520376,0.6577,participant_paired_percentile_fixed_oof,10000,0.95,288461199
PPG-BP,dbp,handcrafted_ppg,PPG features,waveform_only_vs_demographics_only,ppg_features,demographics,age/sex/BMI,219,219,0.008634482646903661,-0.41204563481198275,0.4393222734784169,0.4823,participant_paired_percentile_fixed_oof,10000,0.95,1838197525
PPG-BP,dbp,papagei_p,PaPaGei-P,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,219,219,0.37694878506723,-0.04451056538636575,0.7945694047333677,0.0376,participant_paired_percentile_fixed_oof,10000,0.95,1345896962
PPG-BP,dbp,papagei_s,PaPaGei-S,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,219,219,0.27241948407727906,-0.03814143287670336,0.5817029448266808,0.0456,participant_paired_percentile_fixed_oof,10000,0.95,2735047292
PPG-BP,dbp,pulseppg,Pulse-PPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,219,219,0.18222324754678207,-0.22195044598145616,0.5734272679757361,0.1903,participant_paired_percentile_fixed_oof,10000,0.95,3595467217
PPG-BP,sbp,anyppg,AnyPPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,219,219,-0.9522042307128283,-2.3423112267198043,0.40865769281704856,0.9128,participant_paired_percentile_fixed_oof,10000,0.95,3519275936
PPG-BP,sbp,handcrafted_ppg,PPG features,waveform_only_vs_demographics_only,ppg_features,demographics,age/sex/BMI,219,219,-0.5011052902503018,-1.5995277883458914,0.6108264355763963,0.8108,participant_paired_percentile_fixed_oof,10000,0.95,4163204602
PPG-BP,sbp,papagei_p,PaPaGei-P,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,219,219,2.038051318924921,0.8485514732793009,3.2211484103794694,0.0003,participant_paired_percentile_fixed_oof,10000,0.95,2972239187
PPG-BP,sbp,papagei_s,PaPaGei-S,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,219,219,2.23089299567664,1.0405945840985977,3.412054513451949,0.0002,participant_paired_percentile_fixed_oof,10000,0.95,4080910843
PPG-BP,sbp,pulseppg,Pulse-PPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,219,219,0.6508794843096407,-0.6029570963788027,1.9703292219718136,0.1558,participant_paired_percentile_fixed_oof,10000,0.95,3183627402
PulseDB-MIMIC,dbp,anyppg,AnyPPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex,300,3000,-0.3880509348890407,-0.8768472969952839,0.10513641280716685,0.943,participant_paired_percentile_fixed_oof,10000,0.95,2317879582
PulseDB-MIMIC,dbp,handcrafted_ppg,PPG features,waveform_only_vs_demographics_only,ppg_features,demographics,age/sex,300,3000,-0.06769947919446118,-0.47743474757160026,0.34221302131848674,0.6249,participant_paired_percentile_fixed_oof,10000,0.95,1688960377
PulseDB-MIMIC,dbp,papagei_p,PaPaGei-P,waveform_only_vs_demographics_only,frozen,demographics,age/sex,300,3000,0.2941191045586856,-0.10963044790984303,0.708332135296604,0.0811,participant_paired_percentile_fixed_oof,10000,0.95,3667448015
PulseDB-MIMIC,dbp,papagei_s,PaPaGei-S,waveform_only_vs_demographics_only,frozen,demographics,age/sex,300,3000,0.2090833608958003,-0.13960133268336108,0.5476548332329297,0.1171,participant_paired_percentile_fixed_oof,10000,0.95,3153287522
PulseDB-MIMIC,dbp,pulseppg,Pulse-PPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex,300,3000,0.03059785458512264,-0.37027038766803594,0.44056912281950916,0.447,participant_paired_percentile_fixed_oof,10000,0.95,1659004324
PulseDB-MIMIC,sbp,anyppg,AnyPPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex,300,3000,-1.9091230973514473,-2.7174681004047114,-1.0797498884659877,1.0,participant_paired_percentile_fixed_oof,10000,0.95,2169521888
PulseDB-MIMIC,sbp,handcrafted_ppg,PPG features,waveform_only_vs_demographics_only,ppg_features,demographics,age/sex,300,3000,-1.3152347087636507,-2.015197420026185,-0.6216964665926298,1.0,participant_paired_percentile_fixed_oof,10000,0.95,395664120
PulseDB-MIMIC,sbp,papagei_p,PaPaGei-P,waveform_only_vs_demographics_only,frozen,demographics,age/sex,300,3000,-0.442114349388171,-1.0277849735571578,0.1501196210642821,0.9279,participant_paired_percentile_fixed_oof,10000,0.95,545995754
PulseDB-MIMIC,sbp,papagei_s,PaPaGei-S,waveform_only_vs_demographics_only,frozen,demographics,age/sex,300,3000,-0.6582192141409936,-1.115425969664204,-0.2004501178509118,0.9966,participant_paired_percentile_fixed_oof,10000,0.95,3494924706
PulseDB-MIMIC,sbp,pulseppg,Pulse-PPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex,300,3000,-1.1476625364462745,-1.7701257050678865,-0.5169462962322331,0.9998,participant_paired_percentile_fixed_oof,10000,0.95,2389715191
PulseDB-Vital,dbp,anyppg,AnyPPG,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,300,3000,-1.4631155042340755,-1.877704739642702,-1.0500684530649922,1.0,participant_paired_percentile_fixed_oof,10000,0.95,1019617847
PulseDB-Vital,dbp,handcrafted_ppg,PPG features,waveform_only_vs_demographics_only,ppg_features,demographics,age/sex/BMI,300,3000,-1.1482809053195617,-1.548673758956956,-0.756810387815362,1.0,participant_paired_percentile_fixed_oof,10000,0.95,3700414034
PulseDB-Vital,dbp,papagei_p,PaPaGei-P,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,300,3000,-0.4760815143605405,-0.8079705692985649,-0.1437355596943906,0.9977,participant_paired_percentile_fixed_oof,10000,0.95,393844693
PulseDB-Vital,dbp,papagei_s,PaPaGei-S,waveform_only_vs_demographics_only,frozen,demographics,age/sex/BMI,300,3000,-0.42757385362999895,-0.7790039761598526,-0.07982232445695711,0.9919,participant_paired_percentile_fixed_oof,10000,0.95,4028542560
