dataset,model,condition,target,preprocessing_policy,padding_policy,padding_required,pretraining_overlap,source_fidelity,contract_version,demographic_fields,seed,n_subjects,n_measurements,mae,rmse,bias,error_std,r2,pearson,calibration_slope,calibration_intercept,mae_ci_low,mae_ci_high,rmse_ci_low,rmse_ci_high,bias_ci_low,bias_ci_high,error_std_ci_low,error_std_ci_high,r2_ci_low,r2_ci_high,pearson_ci_low,pearson_ci_high,calibration_slope_ci_low,calibration_slope_ci_high,calibration_intercept_ci_low,calibration_intercept_ci_high,n_seeds,aggregation_mode,bootstrap_mode
PulseDB-Vital,anyppg,frozen,sbp,source_consistent_filter_resample_zscore_adaptation,none,False,exact_dataset_overlap,source_consistent_adaptation,source-faithful-v3,none,20260715,300.0,3000.0,13.661650007046497,17.4667249172007,0.16598874057794932,17.46593619223319,0.3353277380527756,0.5792678005098182,0.9784079631073983,2.3536516494486235,12.948543274122171,14.357669233231258,16.574239002627092,18.297645643270567,-1.2454376522210557,1.574641846462671,16.553892013697407,18.280878908921853,0.2757991033106271,0.3877762021501072,0.5306151853675952,0.6250092331221485,0.8849699692017355,1.070595076993173,-8.097292207858056,12.867068937055747,1,single_deterministic_fit,participant_resample_within_seed
PulseDB-Vital,anyppg,frozen_demographics,dbp,source_consistent_filter_resample_zscore_adaptation,none,False,exact_dataset_overlap,source_consistent_adaptation,source-faithful-v3,age/sex/BMI,20260715,300.0,3000.0,8.522719780854917,10.948645116814149,0.049996163171129135,10.948530964362591,0.29638691099146697,0.5448590282628736,0.9617421351176798,2.3879392051208166,8.040551111854057,8.993132883162474,10.307858763471604,11.602296282769126,-0.9552572517050214,1.0037862792088637,10.285095089511978,11.600830393403017,0.23700426301692135,0.3476042978506548,0.49419247126277155,0.5920601869248192,0.8597745636637772,1.0675807358810412,-4.533150031689378,8.948502013822687,1,single_deterministic_fit,participant_resample_within_seed
PulseDB-Vital,anyppg,frozen_demographics,sbp,source_consistent_filter_resample_zscore_adaptation,none,False,exact_dataset_overlap,source_consistent_adaptation,source-faithful-v3,age/sex/BMI,20260715,300.0,3000.0,13.5406224390846,17.340256119878664,0.13834203696563852,17.339704258833184,0.3449180854504168,0.5873756219857821,0.9880648980961437,1.2540713014646687,12.830362946646995,14.282447350335673,16.506563480822283,18.25409840838865,-1.289820963260404,1.4392589829801559,16.46334438356976,18.23285009624696,0.2868762944766623,0.39738208155602844,0.5400482370236543,0.6325784067347834,0.8994838117147099,1.0766838564353236,-8.98514176373746,11.217525010471396,1,single_deterministic_fit,participant_resample_within_seed
PulseDB-Vital,demographics,demographics,dbp,none,none,False,not_applicable,not_applicable,source-faithful-v3,age/sex/BMI,20260715,300.0,3000.0,10.168149503320265,13.05988641864643,0.005671517851282087,13.059885187161132,-0.0011334023155422646,0.030631589672678084,0.4022775616472932,38.05696161126522,9.649749054815262,10.697759045035609,12.369836728326309,13.75527705386306,-1.075064303861786,1.0710392332610492,12.353066321779329,13.753155461638556,-0.01865929599446746,0.011862163806759448,-0.06171465188826548,0.12036574279191727,-0.8220019309870522,1.5765769048025366,-36.97784521675674,115.87217915192731,1,single_deterministic_fit,participant_resample_within_seed
PulseDB-Vital,demographics,demographics,sbp,none,none,False,not_applicable,not_applicable,source-faithful-v3,age/sex/BMI,20260715,300.0,3000.0,16.78510591697319,21.299277783954626,-0.009478273118641828,21.299275675017725,0.011641846752516338,0.10856194106795498,0.9005743008767149,11.59431926735432,16.0578857568071,17.56768486322636,20.411436004646074,22.195494861931813,-1.5941168227319273,1.6472846154937808,20.391192377713587,22.170550473495634,-0.01203247829923368,0.030983652501104263,0.017058745499177557,0.19341051844146095,0.14517110507634307,1.6175191050578483,-72.65550902348345,99.85413924673483,1,single_deterministic_fit,participant_resample_within_seed
PulseDB-Vital,handcrafted_ppg,ppg_features,dbp,handcrafted_morphology_and_statistics_v1,none,False,not_applicable,not_applicable,source-faithful-v3,none,20260715,300.0,3000.0,9.01068928946783,11.662421781989154,0.029610534545456146,11.662384191804822,0.20165494451712185,0.45104216739741343,0.9144852696586442,5.417967170153386,8.526337738780612,9.513738264203988,11.026271523892923,12.333241669257685,-0.953458040846769,1.0092146938701716,11.005268451555049,12.31518167675458,0.14356078559761254,0.2520664256626625,0.39445375313254777,0.5037572962391029,0.7902728240737318,1.0492070354477703,-2.8485796151520866,13.241435164444002,1,single_deterministic_fit,participant_resample_within_seed
PulseDB-Vital,handcrafted_ppg,ppg_features,sbp,handcrafted_morphology_and_statistics_v1,none,False,not_applicable,not_applicable,source-faithful-v3,none,20260715,300.0,3000.0,14.416468458754201,18.484290651102054,0.10939168431552757,18.4839669533848,0.25562775464574683,0.5063275530975782,0.9498795679294995,5.73647715049676,13.722618840822372,15.098137324156786,17.58625034861683,19.335517358360313,-1.3374247801104138,1.4748830914733608,17.569061188116407,19.30913335207898,0.19445564368854357,0.30944213344352545,0.4506604974262585,0.5584388278393998,0.8332974652464825,1.068993600306452,-7.6857230544370445,18.927019207892492,1,single_deterministic_fit,participant_resample_within_seed
PulseDB-Vital,handcrafted_ppg,ppg_features_demographics,dbp,handcrafted_morphology_and_statistics_v1,none,False,not_applicable,not_applicable,source-faithful-v3,age/sex/BMI,20260715,300.0,3000.0,8.784387675799053,11.449234405324978,0.04682446774680196,11.449138654820171,0.23057543842072947,0.4822117945864468,0.9163062062183266,5.286194115424236,8.323633959936666,9.284753812250033,10.8173893811592,12.151943188743036,-0.8713908467458377,0.9709961643881444,10.804371444353697,12.139165691651877,0.17095854443785896,0.28408427097305816,0.42628796376395417,0.5345877105798105,0.8070418748420678,1.026807214967235,-1.531758134137964,12.123873463532886,1,single_deterministic_fit,participant_resample_within_seed
PulseDB-Vital,handcrafted_ppg,ppg_features_demographics,sbp,handcrafted_morphology_and_statistics_v1,none,False,not_applicable,not_applicable,source-faithful-v3,age/sex/BMI,20260715,300.0,3000.0,14.355759897139283,18.456994997372536,0.11094481776209342,18.456661550249184,0.2578245525216494,0.5091394778871828,0.9321908941995588,7.798173289414174,13.670821286590106,15.061569301732103,17.54726346033123,19.40431634024638,-1.382046414718981,1.5633863642390153,17.534831587402884,19.38431064836313,0.19376715891100607,0.31393821100593133,0.4531679819016149,0.5609980533122638,0.8115517328153825,1.0446727228509933,-5.042483697981191,21.25499031434478,1,single_deterministic_fit,participant_resample_within_seed
PulseDB-Vital,papagei_p,finetuned,dbp,official_ppgbp_notebook_equivalent,none,False,source_overlap,source_consistent_adaptation,source-faithful-v3,none,17,300.0,3000.0,9.554657083111099,12.156775903946782,0.28086586229419597,12.153530957963566,0.1325389692856872,0.37211081695772746,0.8342678422516016,10.318474511721513,9.016928713941146,10.096624051289135,11.48905608124005,12.835759604767453,-0.823305610657505,1.26159831117179,11.47491966681452,12.823916165088976,0.0775250315942297,0.1804366004519902,0.3151497501063896,0.4273710272736155,0.6947450791836862,0.9705837358913515,1.542093685652769,18.935581593438823,1,single_neural_seed,participant_resample_within_seed
